File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018167_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/16/18,69993,0.31,1.5649,"(0.31,1.5649)",1.2439,0.2457,0.0604,1.3604,1.5221,1.34,1.0885,1.2516
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018168_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/17/18,72841,0.31,1.5649,"(0.31,1.5649)",1.2226,0.2822,0.0796,1.3624,1.5306,1.34,1.0821,1.2503
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018169_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/18/18,48389,0.31,1.5649,"(0.31,1.5649)",1.2431,0.2313,0.0535,1.3538,1.5322,1.3269,1.0525,1.2332
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018170_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/19/18,69597,0.31,1.5649,"(0.31,1.5649)",1.2471,0.242,0.0586,1.361,1.5142,1.34,1.1056,1.2588
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018171_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/20/18,73368,0.31,1.5649,"(0.31,1.5649)",1.2201,0.2851,0.0813,1.3629,1.5346,1.34,1.0743,1.2474
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018172_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/21/18,67987,0.31,1.5649,"(0.31,1.5649)",1.2442,0.2566,0.0659,1.3643,1.5199,1.34,1.1032,1.2599
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018173_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/22/18,71176,0.31,1.5649,"(0.31,1.5649)",1.2354,0.2619,0.0686,1.3622,1.5221,1.34,1.0943,1.255
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018174_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/23/18,47251,0.31,1.5649,"(0.31,1.5649)",1.232,0.2532,0.0641,1.356,1.5371,1.3307,1.0468,1.2323
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018175_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/24/18,70314,0.31,1.5649,"(0.31,1.5649)",1.2436,0.2464,0.0607,1.3605,1.5235,1.34,1.0882,1.2515
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018176_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/25/18,72846,0.31,1.5649,"(0.31,1.5649)",1.2227,0.2821,0.0796,1.3624,1.5296,1.34,1.0821,1.2503
